"Part";"Value";"Device";"Package";"Description";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";
"C1";"10nF";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";
"C2";"100nF";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";
"C3";"100nF";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";
"C4";"20pF";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";
"C5";"20pF";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";
"C6";"1uF";"CPOL-EUB";"PANASONIC_B";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";
"C7";"100nF";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";
"C8";"100nF";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";
"C9";"100nF";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";
"C10";"100nF";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";
"C11";"10uF";"CPOL-EUB";"PANASONIC_B";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";
"C12";"100nF";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";
"C13";"100nF";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";
"JP1";"";"PINHD-1X24";"1X24";"PIN HEADER";"";"";"";"";"";
"JP2";"";"PINHD-2X10";"2X10";"PIN HEADER";"";"";"";"";"";
"JP3";"";"PINHD-1X24";"1X24";"PIN HEADER";"";"";"";"";"";
"L1";"470 Ohm@100MHz";"INDUCTOR0805";"0805";"Inductors";"";"";"";"";"";
"R1";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";
"R2";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";
"R3";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";
"R4";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";
"R5";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";
"R6";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";
"R7_F1";"0";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";
"R7_F2";"0";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";
"R8_F1";"0";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";
"R8_F2";"0";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";
"R9_F1";"0";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";
"S1";"SWITCH_TH";"SWITCH_TH";"SWITCH_TROUGHHOLE";"";"";"";"";"";"";
"S2";"SWITCH_TH";"SWITCH_TH";"SWITCH_TROUGHHOLE";"";"";"";"";"";"";
"S3";"SS12SDXX";"SS12SDXX";"SS12SDXX";"";"";"";"";"";"";
"S4";"SS12SDXX";"SS12SDXX";"SS12SDXX";"";"";"";"";"";"";
"S5";"SWS004";"SWS004";"SMS-004";"SMD Dip Switch 4 pol.";"";"";"";"";"";
"U$1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";"";"";"";
"U1";"STM32L152VBT6";"STM32L152VBT6";"QFP50P1600X1600X160-100N";"Ultralow power ARM-based 32-bit MCU";"STM32L152VBT6";"2060948";"65T3809";"LQFP-100";"STMICROELECTRONICS";
"Y1";"8MHz";"CRYSTALSMD";"HC49UP";"Various standard crystals. Proven footprints. Spark Fun Electronics SKU : COM-00534";"";"";"";"";"";
